Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 25, 2024 - BOS vs. LAC",W,25:46,20,7,13,53.8,6,10,60.0,0,0,0.0,0,2,2,4,2,0,1,0,30
"Nov 24, 2024 - BOS vs. MIN",W,22:21,8,3,7,42.9,1,5,20.0,1,1,100,1,3,4,3,0,0,0,2,-3
"Nov 22, 2024 - BOS @ WAS",W,22:34,9,3,6,50.0,1,3,33.3,2,3,66.7,1,1,2,4,1,0,0,2,0
"Nov 19, 2024 - BOS vs. CLE",W,25:43,13,5,9,55.6,3,6,50.0,0,0,0.0,1,1,2,3,1,0,0,2,-14
"Nov 16, 2024 - BOS vs. TOR",W,23:53,6,2,8,25.0,2,7,28.6,0,0,0.0,0,0,0,1,0,0,0,2,6
"Nov 13, 2024 - BOS @ BKN",W,36:13,23,8,13,61.5,5,9,55.6,2,4,50.0,2,4,6,8,2,1,1,3,14
"Nov 12, 2024 - BOS vs. ATL",L,25:17,6,2,8,25.0,2,8,25.0,0,0,0.0,0,1,1,2,3,0,1,2,-9
"Nov 10, 2024 - BOS @ MIL",W,22:50,18,6,10,60.0,5,8,62.5,1,1,100,1,0,1,3,0,0,3,1,-8
"Nov 08, 2024 - BOS vs. BKN",W,33:38,20,6,11,54.5,3,7,42.9,5,5,100,0,1,1,0,1,0,1,2,11
"Nov 06, 2024 - BOS vs. GSW",L,32:10,16,5,13,38.5,3,11,27.3,3,3,100,2,1,3,3,0,0,2,4,-8
"Nov 04, 2024 - BOS @ ATL",W,25:29,18,7,12,58.3,3,8,37.5,1,1,100,0,3,3,4,1,0,3,1,21
"Nov 02, 2024 - BOS @ CHA",W,29:06,22,8,15,53.3,6,12,50.0,0,0,0.0,1,2,3,2,0,0,1,3,7
"Nov 01, 2024 - BOS @ CHA",W,27:50,7,1,6,16.7,0,5,0.0,5,6,83.3,0,2,2,3,5,0,1,0,13
"Oct 30, 2024 - BOS @ IND",L,38:34,16,5,14,35.7,4,11,36.4,2,2,100,2,2,4,4,1,0,1,2,8
"Oct 28, 2024 - BOS vs. MIL",W,27:41,28,10,14,71.4,8,12,66.7,0,0,0.0,2,3,5,3,2,0,2,2,12
"Oct 26, 2024 - BOS @ DET",W,19:17,19,5,8,62.5,5,7,71.4,4,4,100,0,2,2,0,1,0,0,1,-5
"Oct 24, 2024 - BOS @ WAS",W,27:57,15,5,11,45.5,5,10,50.0,0,0,0.0,0,1,1,2,0,0,0,1,11
"Oct 22, 2024 - BOS vs. NYK",W,24:58,3,1,10,10.0,1,9,11.1,0,0,0.0,1,3,4,4,0,0,1,2,7

