Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
Knecht, Dalton,LAL,6.6,3.8,0.7,0.7,1.3,55.0,0.2,0.2,100,0.5,1.1,47.1
Koloko, Christian,LAL,0.8,0.4,0.1,0.1,0.1,100,0.1,0.1,100,0.0,0.0,-
Christie, Max,LAL,4.1,2.3,0.1,0.1,0.4,33.3,0.1,0.1,50.0,0.1,0.3,25.0
Hayes, Jaxson,LAL,2.4,1.4,0.2,0.2,0.3,75.0,0.2,0.3,75.0,0.0,0.0,-
Reddish, Cam,LAL,3.6,2.1,0.2,0.2,0.5,37.5,0.1,0.2,33.3,0.1,0.3,40.0
Vincent, Gabe,LAL,3.5,2.0,0.1,0.1,0.4,28.6,0.1,0.1,50.0,0.1,0.3,20.0
Hachimura, Rui,LAL,6.1,3.4,0.5,0.6,1.4,40.9,0.4,1.0,37.5,0.2,0.4,50.0
Russell, D'Angelo,LAL,15.1,8.6,0.6,0.6,1.9,32.3,0.3,0.6,44.4,0.4,1.4,27.3
Davis, Anthony,LAL,27.0,15.3,1.4,2.0,5.5,36.4,1.8,5.1,35.8,0.2,0.4,42.9
James, LeBron,LAL,30.7,17.4,1.4,2.1,4.8,44.7,1.7,3.3,50.9,0.4,1.4,30.4
