Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Nov 16, 2024 - MIL @ CHA",L,33:29,22,11,22,50.0,0,1,0.0,0,1,0.0,2,13,15,12,0,2,2,2,-2
"Nov 13, 2024 - MIL vs. DET",W,43:37,59,21,34,61.8,1,2,50.0,16,17,94.1,3,11,14,7,2,3,3,1,7
"Nov 12, 2024 - MIL vs. TOR",W,33:20,23,9,12,75.0,0,1,0.0,5,9,55.6,1,3,4,7,0,4,4,2,1
"Nov 10, 2024 - MIL vs. BOS",L,39:09,43,18,29,62.1,1,2,50.0,6,10,60.0,1,12,13,5,0,2,1,4,-6
"Nov 08, 2024 - MIL @ NYK",L,32:12,24,11,21,52.4,0,1,0.0,2,6,33.3,3,9,12,2,0,2,1,2,-17
"Nov 07, 2024 - MIL vs. UTA",W,30:13,31,11,21,52.4,0,0,0.0,9,12,75.0,6,10,16,2,1,1,4,5,27
"Nov 02, 2024 - MIL vs. CLE",L,38:52,34,15,27,55.6,0,0,0.0,4,7,57.1,6,10,16,9,1,0,0,5,5
"Oct 31, 2024 - MIL @ MEM",L,33:31,37,17,22,77.3,0,0,0.0,3,8,37.5,1,10,11,4,1,1,1,4,0
"Oct 28, 2024 - MIL @ BOS",L,39:05,30,14,26,53.8,0,2,0.0,2,6,33.3,1,9,10,6,0,0,7,4,-19
"Oct 27, 2024 - MIL @ BKN",L,33:19,22,7,11,63.6,0,0,0.0,8,11,72.7,1,11,12,7,1,1,4,3,-11
"Oct 25, 2024 - MIL vs. CHI",L,35:08,38,15,23,65.2,0,1,0.0,8,16,50.0,1,10,11,5,0,0,3,1,-12
"Oct 23, 2024 - MIL @ PHI",W,31:12,25,8,11,72.7,0,0,0.0,9,16,56.3,1,13,14,7,0,1,3,4,7
